Date,Open,High,Low,Close,Voulume
2017. 4. 13 오후 4:00:00,5828.37,5856.54,5805.15,5805.15,
2017. 4. 17 오후 4:00:00,5821.55,5856.79,5818.2,5856.79,
2017. 4. 18 오후 4:00:00,5838.59,5860.04,5828.57,5849.47,
2017. 4. 19 오후 4:00:00,5874.43,5894.68,5856.34,5863.03,
2017. 4. 20 오후 4:00:00,5887.87,5926.23,5880.2,5916.78,
2017. 4. 21 오후 4:00:00,5919.02,5919.23,5899.43,5910.52,
2017. 4. 24 오후 4:00:00,5979.96,5989.92,5970.25,5983.82,
2017. 4. 25 오후 4:00:00,6004.16,6036.02,6002.65,6025.49,
2017. 4. 26 오후 4:00:00,6028.12,6040.89,6021.72,6025.23,
2017. 4. 27 오후 4:00:00,6038.47,6050.7,6031.59,6048.94,
2017. 4. 28 오후 4:00:00,6072.87,6074.04,6040.71,6047.61,
